S.No,Age_group,Q1,Q2,Q3,Q4,Q4b,Q5,Q6,Q6b,Q7,Q8,Q9,Q9b
4-15-2024 17:12:46,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,"Availability of charging stations, Lack of information",Availability of charging stations ,Fewer jobs,Public transportation,Public transportation,No,Nope,No idea,Unaware
4-16-2024 22:25:07,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Cost of EVs,Cost of EVs,Fewer jobs,Battery manufacturing and recycling,Battery manufacturing and recycling,Maybe,Takes a long time to charge ,As per the need changes need to be made ,Enforce environmental Safety & labor regulations
4-16-2024 22:28:42,55 - 64,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Lack of information",Availability of charging stations ,Unsure,Oil and gas,Oil and gas,No,No,Not sure,Unaware
4-16-2024 22:40:30,55 - 64,Self-employed,Bike/Walk,Neutral,"Availability of charging stations, Environmental impact",Availability of charging stations ,Unsure,Oil and gas,Oil and gas,Maybe,No ,Awareness ,Awareness campaigns on  EV benefits
4-17-2024 7:16:09,55 - 64,Employed full-time,Bike/Walk,Very likely,Availability of charging stations,Availability of charging stations,Unsure,"Automotive manufacturing, ",Automotive manufacturing,No,No,Time will tell,Unaware
4-17-2024 7:30:16,35 - 44,Employed full-time,Internal Combustion (IC) vehicle,Somewhat likely,Cost of EVs,Cost of EVs,Fewer jobs,"Automotive manufacturing, Battery manufacturing and recycling",Automotive manufacturing,Yes,No,There will be no negative impact ,Satisfied 
4-17-2024 7:48:42,55 - 64,Retired,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Availability of charging stations",Cost of EVs ,No impact,Automotive manufacturing,Automotive manufacturing,No,If price become affordable and numbers of charging station  increases,It depends,Unaware
4-17-2024 8:03:30,65 and above,Retired,Internal Combustion (IC) vehicle,Very unlikely,"Cost of EVs, Availability of charging stations, Range per charge",Cost of EVs ,Unsure,"Automotive manufacturing, Oil and gas, Public transportation",Automotive manufacturing,Maybe,No,Affordability. ,Government incentives
4-17-2024 8:11:00,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,"Cost of EVs, Availability of charging stations, Range per charge",Cost of EVs ,No impact,Oil and gas,Oil and gas,Yes,Charging stations will be a key for transitioning ,Improving skills in the field of EV’s of the current workforce. ,Training for workers
4-17-2024 8:17:05,35 - 44,Self-employed,Electric Vehicle (EV),Very likely,"Cost of EVs, Range per charge, Environmental impact",Cost of EVs ,Create more jobs,"Automotive manufacturing, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Automotive manufacturing,Yes,We need more and more charging stations and there should be thought involved on how to reduce the charging time while traveling long distance in EV Vehicle ,There won't be negative impact and newer jobs will be created,No negative employment impacts
4-17-2024 8:19:03,65 and above,Retired,Internal Combustion (IC) vehicle,Somewhat likely,Environmental impact,Environmental impact,Fewer jobs,Oil and gas,Oil and gas,No,Charging stations ,Skill the labours,Training for workers
4-17-2024 8:22:17,18 - 24,Employed part-time,Public transportation,Very unlikely,"Cost of EVs, Availability of charging stations",Cost of EVs ,Unsure,Oil and gas,Oil and gas,Yes,We will need more stations for charging,Skill the labourers,Training for workers
4-17-2024 8:24:24,45 - 54,Employed full-time,Internal Combustion (IC) vehicle,Somewhat unlikely,Cost of EVs,Cost of EVs,No impact,Oil and gas,Oil and gas,No,Cost is the major and battery life ,Awareness about the environment ,Awareness campaigns on  EV benefits
4-17-2024 8:24:31,Under 18,Student,School bus,Neutral,Environmental impact,Environmental impact,Unsure,"Oil and gas, Battery manufacturing and recycling",Oil and gas,Maybe,Safety of vehicles as there are many cases where cars are on fire.,Create awareness,Awareness campaigns on  EV benefits
4-17-2024 8:24:54,45 - 54,Self-employed,Car,Neutral,No concerns,No concerns,Unsure,Oil and gas,Oil and gas,No,No comment ,No comment ,Unaware
4-17-2024 8:25:41,35 - 44,Employed full-time,Bike/Walk,Very unlikely,Cost of EVs,Cost of EVs,Fewer jobs,Public transportation,Public transportation,Maybe,Cost,Educate people,Awareness campaigns on  EV benefits
4-17-2024 8:28:52,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Availability of charging stations, Environmental impact",Cost of EVs ,Create more jobs,"Automotive manufacturing, Public transportation",Automotive manufacturing,Maybe,No,To make more awareness among the new entrants in the employment arena,Awareness campaigns on  EV benefits
4-17-2024 8:31:33,55 - 64,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Availability of charging stations,Availability of charging stations,Create more jobs,Oil and gas,Oil and gas,Yes,Battery should be of proper standards...else it gets discharged suddenly and one gets stucked up.,Proper steps should be taken.,Awareness campaigns on  EV benefits
4-17-2024 8:35:44,25 - 34,Employed full-time,Electric Vehicle (EV),Very likely,"Cost of EVs, Availability of charging stations, Lack of information",Cost of EVs ,Unsure,"Renewable energy (e.g., wind, solar)",Renewable energy ,Maybe,No,Nothing ,Unaware
4-17-2024 8:37:57,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,Availability of charging stations,Availability of charging stations,No impact,"Oil and gas, Public transportation",Oil and gas,Maybe,It’s ones choice,Both the types of vehicles need to be promoted equally till the facilities required for EV is easily available without the malfunction of the product ,Enforce environmental Safety & labor regulations
4-17-2024 8:38:06,45 - 54,Self-employed,Electric Vehicle (EV),Very likely,No concerns,No concerns,No impact,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Automotive manufacturing,Maybe,No,More information needed,Unaware
4-17-2024 8:39:55,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Availability of charging stations",Cost of EVs ,No impact,"Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Oil and gas,Yes,Have heard that there is a blast if it’s overcharged. ,Can’t think of any ,Unaware
4-17-2024 8:39:59,45 - 54,Self-employed,Public transportation,Somewhat unlikely,"Cost of EVs, Availability of charging stations",Cost of EVs ,Fewer jobs,Oil and gas,Oil and gas,No,Charging points to be increased. Government taxes on EV Vehicles to be reduced,No,Unaware
4-17-2024 8:43:11,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Very unlikely,"Cost of EVs, Range per charge",Cost of EVs ,No impact,"Automotive manufacturing, Battery manufacturing and recycling",Automotive manufacturing,Maybe,Long tearm savings,No,Unaware
4-17-2024 8:45:09,65 and above,Self-employed,Internal Combustion (IC) vehicle,Very likely,Availability of charging stations,Availability of charging stations,Create more jobs,Oil and gas,Oil and gas,Yes,No,Fire or blast in battery ,Enforce environmental Safety & labor regulations
4-17-2024 8:47:55,45 - 54,Employed full-time,Public transportation,Somewhat likely,"Cost of EVs, Availability of charging stations, Lack of information",Cost of EVs ,Unsure,Public transportation,Public transportation,Yes,None,Plan ,Awareness campaigns on  EV benefits
4-17-2024 8:49:34,45 - 54,Self-employed,Bike/Walk,Very unlikely,"Cost of EVs, Lack of information, There no any benefits to environment as such",Cost of EVs ,No impact,"Renewable energy (e.g., wind, solar)",Renewable energy ,No,No any idea,If ev vehicle helps to environment I will be happy,Enforce environmental Safety & labor regulations
4-17-2024 9:12:31,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Cost of EVs, Availability of charging stations, Range per charge, Parking space issues",Cost of EVs ,Fewer jobs,Oil and gas,Oil and gas,Yes,More time taken to charge vehicle is also a concern,Training to employees currently working at IC manufacturing & petrol stations,Awareness campaigns on  EV benefits
4-17-2024 9:21:01,45 - 54,Self-employed,Car ,Very unlikely,"Lack of information, No concerns",Lack of information ,Unsure,"Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Renewable energy ,No,No ,No ,Unaware
4-17-2024 9:25:03,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Very likely,No concerns,No concerns,Unsure,"Automotive manufacturing, Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling, Public transportation",Automotive manufacturing,No,No,No answer ,Unaware
4-17-2024 9:26:22,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,"Cost of EVs, Availability of charging stations, Range per charge",Cost of EVs ,Unsure,"Oil and gas, Hu",Oil and gas,No,It should be cost effective and battery capacity to run should be increased ,No comments ,Unaware
4-17-2024 9:32:22,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Range per charge, Environmental impact",Availability of charging stations ,Unsure,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Automotive manufacturing,Yes,"The road conditions to ge compatible with the EV vehicles all over..
The charging stations availability and charging speed to be better","Skill development for the conventional manufacturing industry labour for transition to EV
Promotion to EV battery manufacturing units",Training for workers
4-17-2024 9:41:18,45 - 54,Employed full-time,Public transportation,Neutral,Environmental impact,Environmental impact,Unsure,"Automotive manufacturing, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Automotive manufacturing,Maybe,No,Not sure,Unaware
4-17-2024 9:41:49,45 - 54,Retired,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Range per charge",Availability of charging stations ,Unsure,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Automotive manufacturing,Yes,None,"Divert available workforce into newer avenues with training, retraining and even diversification into other industries on a concerted basis. ",Training for workers
4-17-2024 9:42:49,45 - 54,Self-employed,Bike/Walk,Neutral,Availability of charging stations,Availability of charging stations,Create more jobs,Battery manufacturing and recycling,Battery manufacturing and recycling,No,No,No,Unaware
4-17-2024 9:57:25,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Range per charge, Environmental impact",Range per charge ,Unsure,"Oil and gas, Public transportation",Oil and gas,Maybe,Im looking forward for hydrogen operating cars,Not a right person to comment ,Unaware
4-17-2024 10:12:09,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Neutral,Availability of charging stations,Availability of charging stations,Unsure,Oil and gas,Oil and gas,No,No,No idea ,Unaware
4-17-2024 10:23:11,25 - 34,Self-employed,Internal Combustion (IC) vehicle,Very likely,"Cost of EVs, Range per charge, Lack of information",Cost of EVs ,Create more jobs,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Automotive manufacturing,Yes,No ,Create additional jobs in the electric vehicle sector.  ,Government incentives
4-17-2024 10:32:22,55 - 64,Retired,Electric Vehicle (EV),Very likely,Environmental impact,Environmental impact,Create more jobs,Public transportation,Public transportation,Yes,No,Positive measures ,Government incentives
4-17-2024 10:41:36,55 - 64,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Lack of information",Availability of charging stations ,Unsure,Oil and gas,Oil and gas,Maybe,The only concern is how to manage travelling long distances where charging stations might not be available & what if my battery suddenly switches off?,Not aware ,Unaware
4-17-2024 10:47:29,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Very likely,Cost of EVs,Cost of EVs,Create more jobs,"Automotive manufacturing, Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Automotive manufacturing,Yes,After china indian people useing more ev bile and car,No comments ,Unaware
4-17-2024 11:22:25,45 - 54,Employed full-time,Bike/Walk,Neutral,"Cost of EVs, Availability of charging stations, Range per charge, Battery issues spare part issues",Cost of EVs ,Fewer jobs,"Automotive manufacturing, Battery manufacturing and recycling, ",Automotive manufacturing,Yes,No,No comments,Unaware
4-17-2024 11:52:35,55 - 64,Unemployed,Public transportation,Somewhat likely,"Availability of charging stations, Range per charge, Environmental impact",Availability of charging stations ,Create more jobs,"Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Oil and gas,Yes,No,To manufacture battery in India to create more employment,Government incentives
4-17-2024 12:07:20,55 - 64,Employed part-time,Car,Somewhat likely,Availability of charging stations,Availability of charging stations,Unsure,Oil and gas,Oil and gas,Maybe,None,Unaware ,Unaware
4-17-2024 12:44:50,Under 18,Student,Bike/Walk,Somewhat likely,"Cost of EVs, Availability of charging stations, Environmental impact",Cost of EVs ,Unsure,"Oil and gas, Public transportation",Oil and gas,Maybe,It will lot of time to educate people,Skill labour,Training for workers
4-17-2024 12:46:14,18 - 24,Employed full-time,Public transportation,Neutral,Availability of charging stations,Availability of charging stations,Create more jobs,Oil and gas,Oil and gas,Yes,Nope,Educate awareness,Awareness campaigns on  EV benefits
4-17-2024 12:52:18,Under 18,Student,Electric Vehicle (EV),Very likely,"Availability of charging stations, Environmental impact",Availability of charging stations ,Fewer jobs,Battery manufacturing and recycling,Battery manufacturing and recycling,Yes,Manufacture of ev  batteries have detrimental effect on environment ,Awareness campaings,Awareness campaigns on  EV benefits
4-17-2024 13:45:51,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Neutral,Availability of charging stations,Availability of charging stations,Fewer jobs,Oil and gas,Oil and gas,No,The main concern is the availability of charging stations,Create new jobs such as jobs related to charging stations ,Government incentives
4-17-2024 14:11:43,45 - 54,Self-employed,Private vehicle ,Neutral,"Availability of charging stations, Range per charge",Availability of charging stations ,Create more jobs,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling, Public transportation",Automotive manufacturing,No,-,-,Unaware
4-17-2024 14:12:22,25 - 34,Employed full-time,Public transportation,Somewhat likely,"Availability of charging stations, Environmental impact",Availability of charging stations ,Fewer jobs,"Oil and gas, Battery manufacturing and recycling, Public transportation",Oil and gas,Yes,There is no knowledge abt it,People should be made aware,Awareness campaigns on  EV benefits
4-17-2024 14:14:02,18 - 24,Student,Bike/Walk,Very unlikely,No concerns,No concerns,Unsure,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Automotive manufacturing,No,No,Environment should not be hampered,Enforce environmental Safety & labor regulations
4-17-2024 14:21:02,55 - 64,Self-employed,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Availability of charging stations, Range per charge, Battery life ",Cost of EVs ,No impact,Oil and gas,Oil and gas,No,Cost factor is very high in EVs vehicle so all other considerations become null ,If negative impact is there then maintain status quo,Enforce environmental Safety & labor regulations
4-17-2024 14:28:05,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Availability of charging stations,Availability of charging stations,Fewer jobs,Oil and gas,Oil and gas,Yes,Safety wise ,There should be incentives for  training of workers and employers to create more jobs..,Training for workers
4-17-2024 14:35:03,35 - 44,Student,Bike/Walk,Somewhat likely,No concerns,No concerns,Create more jobs,Oil and gas,Oil and gas,No,No,No,Unaware
4-17-2024 14:44:20,45 - 54,Retired,Internal Combustion (IC) vehicle,Somewhat likely,"Cost of EVs, Availability of charging stations, Range per charge, Environmental impact, Lack of information",Cost of EVs ,Unsure,"Automotive manufacturing, Oil and gas",Automotive manufacturing,Maybe,No,Unsure,Unaware
4-17-2024 14:46:17,25 - 34,Employed full-time,Public transportation,Neutral,"Availability of charging stations, Environmental impact",Availability of charging stations ,Fewer jobs,"Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Renewable energy ,No,No Comments,Measure to keep environment safe is very kuch necessary ,Enforce environmental Safety & labor regulations
