S.No,Age_group,Q1,Q2,Q3,Q4,Q4b,Q5,Q6,Q6b,Q7,Q8,Q9,Q9b
4-17-2024 14:52:52,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,"Cost of EVs, Availability of charging stations",Cost of EVs ,No impact,Battery manufacturing and recycling,Battery manufacturing and recycling,No,"Currently, India gets most its power from coal and fossil fuels. So unless we switch to renewable sources for our power, transition to EV would just change the ultimate source of pollution.",Research in renewable energy.,Enforce environmental Safety & labor regulations
4-17-2024 14:53:20,45 - 54,Self-employed,Electric Vehicle (EV),Very likely,Availability of charging stations,Availability of charging stations,Unsure,Oil and gas,Oil and gas,Yes,Way To Go Ahead ,Transparency ,Awareness campaigns on  EV benefits
4-17-2024 14:57:52,55 - 64,Retired,Internal Combustion (IC) vehicle,Very likely,"Cost of EVs, Availability of charging stations, Range per charge, Environmental impact",Cost of EVs ,Create more jobs,Oil and gas,Oil and gas,Yes,No,They should trained for EVs vehicle ,Training for workers
4-17-2024 14:58:15,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,"Cost of EVs, Availability of charging stations, Environmental impact",Cost of EVs ,Fewer jobs,"Oil and gas, Public transportation",Oil and gas,Yes,None,Have more charging stations. ,Infrastructure availability
4-17-2024 14:58:26,25 - 34,Employed full-time,Internal Combustion (IC) vehicle,Very likely,"Cost of EVs, Availability of charging stations, Environmental impact",Cost of EVs ,No impact,"Oil and gas, Renewable energy (e.g., wind, solar)",Oil and gas,Yes,Transition to EV will have a financial impact,"On the job training to be provided, enhance skill development amongst employees for them to have a different role or transition.",Training for workers
4-17-2024 15:05:57,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Very likely,"Environmental impact, Lack of information",Environmental impact ,No impact,Oil and gas,Oil and gas,No,Lack of awareness and facilities surrounding EV vehicles..in short factors supporting EVs,This are ample of opportunities to work who genuinely wants to.,No negative employment impacts
4-17-2024 15:34:39,45 - 54,Self-employed,Public transportation,Somewhat likely,"Availability of charging stations, Range per charge, Lack of information",Availability of charging stations ,Unsure,Battery manufacturing and recycling,Battery manufacturing and recycling,No,No,Not thought of ,Unaware
4-17-2024 15:37:53,35 - 44,Self-employed,Electric Vehicle (EV),Very likely,Availability of charging stations,Availability of charging stations,Create more jobs,Battery manufacturing and recycling,Battery manufacturing and recycling,Maybe, Very happy with Evs,Lot of electric power consumption ,Enforce environmental Safety & labor regulations
4-17-2024 15:42:03,65 and above,Self-employed,Public transportation,Somewhat likely,Environmental impact,Environmental impact,Unsure,"Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Renewable energy ,Maybe,Waiting for the outcome ,Awareness of the positivity ,Awareness campaigns on  EV benefits
4-17-2024 15:49:17,25 - 34,Self-employed,Electric Vehicle (EV),Very likely,Environmental impact,Environmental impact,Fewer jobs,"Battery manufacturing and recycling, Public transportation",Battery manufacturing and recycling ,Maybe,No,"Difficulty Finding a Technician. ...
Charging Infrastructure ",Infrastructure availability
4-17-2024 18:59:12,25 - 34,Employed full-time,Public transportation,Very unlikely,Environmental impact,Environmental impact,No impact,Oil and gas,Oil and gas,Yes,None,NA,Unaware
4-17-2024 19:11:12,45 - 54,Unemployed,Internal Combustion (IC) vehicle,Very likely,"Availability of charging stations, Range per charge",Availability of charging stations ,No impact,I dont see any impact on employment,I dont see any impact on employment,No,Nil,I don't see any impact on employment,No negative employment impacts
4-17-2024 19:16:07,45 - 54,Employed full-time,Electric Vehicle (EV),Very likely,"Cost of EVs, Environmental impact",Cost of EVs ,Unsure,"Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Renewable energy ,Yes,For environmental n for cost transition is must from ic to ev,No idea ,Unaware
4-17-2024 19:21:57,Under 18,Student,Internal Combustion (IC) vehicle,Somewhat unlikely,"Environmental impact, Lack of information",Environmental impact ,Unsure,"Automotive manufacturing, Public transportation",Automotive manufacturing,No,Environment will go for a toss as more lithium will be needed,Government should intervene ,Government incentives
4-17-2024 19:25:00,25 - 34,Employed full-time,Bike/Walk,Very unlikely,"Cost of EVs, Ev vehicles are not safe.",Cost of EVs ,No impact,"Automotive manufacturing, Oil and gas, Renewable energy (e.g., wind, solar)",Automotive manufacturing,Yes,So many cases have raised where electronic vehicles have caught fire.Cars are stuck up in between as there are less charging stations.,Educate mass public,Awareness campaigns on  EV benefits
4-17-2024 19:34:20,45 - 54,Self-employed,Bike/Walk,Neutral,"Cost of EVs, Lack of information",Cost of EVs ,Create more jobs,"Automotive manufacturing, Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling, Public transportation",Automotive manufacturing,Yes,No,Increase the knowledge and decrease the rate,Awareness campaigns on  EV benefits
4-17-2024 19:34:43,25 - 34,Employed part-time,Internal Combustion (IC) vehicle,Neutral,"Range per charge, No concerns",Range per charge ,Unsure,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Automotive manufacturing,Yes,Battery issues and incar electronics are the biggest issues in ev ,Awareness campaign ,Awareness campaigns on  EV benefits
4-17-2024 19:37:15,65 and above,Retired,Public transportation,Very unlikely,Cost of EVs,Cost of EVs,Unsure,Battery manufacturing and recycling,Battery manufacturing and recycling,No,Charging infrastructure,No idea,Unaware
4-17-2024 19:40:28,35 - 44,Employed full-time,Electric Vehicle (EV),Very likely,No concerns,No concerns,Create more jobs,Automotive manufacturing,Automotive manufacturing,Yes,Longevity of ev batteries,Making of ev vehicles creates lot of pollution as the raw material has to be mined,Enforce environmental Safety & labor regulations
4-17-2024 19:43:49,Under 18,Student,Public transportation,Somewhat unlikely,Environmental impact,Environmental impact,Create more jobs,"Automotive manufacturing, Oil and gas, Renewable energy (e.g., wind, solar)",Automotive manufacturing,Yes,Replacing EV batteries is expensive,Upgrade the skilled workers,Training for workers
4-17-2024 19:55:14,Under 18,Student,Electric Vehicle (EV),Very likely,Environmental impact,Environmental impact,No impact,Battery manufacturing and recycling,Battery manufacturing and recycling,Yes,"High maintaining cost of the batteries, limited driving range",Government can give subsidies or tax credits to people buying ev vehicles,Unaware
4-17-2024 20:01:08,55 - 64,Employed full-time,Internal Combustion (IC) vehicle,Somewhat likely,Environmental impact,Environmental impact,Fewer jobs,Public transportation,Public transportation,No,Scarcity of charging stations,Not clear with this question.Thank you.All the best,Unaware
4-17-2024 20:10:13,55 - 64,Self-employed,Internal Combustion (IC) vehicle,Somewhat unlikely,Lack of information,Lack of information,Fewer jobs,"Renewable energy (e.g., wind, solar)",Renewable energy ,Yes,India needs to be prepared to manufacture that much electricity ,Prepare first ,Training for workers
4-18-2024 1:58:48,45 - 54,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Availability of charging stations,Availability of charging stations,No impact,"Oil and gas, Battery manufacturing and recycling",Oil and gas,Maybe,The process involved in obtaining lithium for the battery itself is going to add to the pollution. We are only going to shift the cause of pollution ,Proper government regulations and training programs in the renewable energy sectors ,Training for workers
4-18-2024 7:25:37,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Neutral,"Availability of charging stations, Environmental impact",Availability of charging stations ,No impact,"Oil and gas, Renewable energy (e.g., wind, solar)",Oil and gas,No,No,Nothing,Unaware
4-18-2024 14:37:14,35 - 44,Unemployed,Public transportation,Somewhat likely,No concerns,No concerns,Fewer jobs,"Automotive manufacturing, Oil and gas, Public transportation",Automotive manufacturing,Maybe,Not really ,Create awareness about it ,Awareness campaigns on  EV benefits
4-18-2024 14:37:18,35 - 44,Unemployed,Public transportation,Somewhat likely,No concerns,No concerns,Fewer jobs,"Automotive manufacturing, Oil and gas, Public transportation",Automotive manufacturing,Maybe,Not really ,Create awareness about it ,Awareness campaigns on  EV benefits
4-18-2024 14:39:24,25 - 34,Self-employed,Public transportation,Very likely,"Cost of EVs, Availability of charging stations",Cost of EVs ,No impact,"Automotive manufacturing, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Automotive manufacturing,Yes,Time to charge the vehicle ,To find the replacement option which would be generated by EV,Awareness campaigns on  EV benefits
4-20-2024 12:54:42,Under 18,Student,Public transportation,Somewhat unlikely,"Cost of EVs, Availability of charging stations, Environmental impact",Cost of EVs ,Create more jobs,Public transportation,Public transportation,Yes,No,There will be depletion of natural resources to make batteries,Enforce environmental Safety & labor regulations
4-20-2024 12:56:32,18 - 24,Student,Bike/Walk,Very likely,"Cost of EVs, Availability of charging stations, Lack of information",Cost of EVs ,Create more jobs,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling, Public transportation",Automotive manufacturing,Maybe,There is a less choice of designs models in Ev government ,Government must give subsidies,Government incentives
4-20-2024 12:58:40,55 - 64,Employed full-time,Electric Vehicle (EV),Very likely,Availability of charging stations,Availability of charging stations,Create more jobs,Automotive manufacturing,Automotive manufacturing,Maybe,I'm not happy as there are very few good models to choose from.,People must be made aware of benefits of using Ev,Awareness campaigns on  EV benefits
4-20-2024 13:00:28,35 - 44,Employed full-time,Internal Combustion (IC) vehicle,Somewhat unlikely,Cost of EVs,Cost of EVs,Fewer jobs,Automotive manufacturing,Automotive manufacturing,No,Ev are not safe .,Question needs more clarity,Unaware
4-20-2024 13:02:28,45 - 54,Employed full-time,Internal Combustion (IC) vehicle,Neutral,Cost of EVs,Cost of EVs,No impact,"Battery manufacturing and recycling, Public transportation",Battery manufacturing and recycling ,No,Natural resources will deplete,Strict laws should be made by government ,Government incentives
4-20-2024 13:06:40,25 - 34,Employed full-time,Bike/Walk,Very likely,"Cost of EVs, Availability of charging stations",Cost of EVs ,Create more jobs,"Automotive manufacturing, Battery manufacturing and recycling",Automotive manufacturing,Maybe,"Difficulty in finding technician ,charging speed.",Government should introduce tax benefit policies,Government incentives
4-20-2024 13:09:48,45 - 54,Employed full-time,Internal Combustion (IC) vehicle,Somewhat likely,"Cost of EVs, Range per charge, Lack of information",Cost of EVs ,Unsure,"Automotive manufacturing, Oil and gas, Battery manufacturing and recycling",Automotive manufacturing,No,Battery life,Train the labours,Training for workers
4-20-2024 13:13:06,Under 18,Student,Public transportation,Very unlikely,Cost of EVs,Cost of EVs,No impact,"Automotive manufacturing, Battery manufacturing and recycling, Public transportation",Automotive manufacturing,Yes,Lack of standardization ,Charging infrastructure need to be set up throughout the country ,Infrastructure availability
4-20-2024 13:20:43,18 - 24,Employed part-time,Public transportation,Neutral,Cost of EVs,Cost of EVs,Fewer jobs,Battery manufacturing and recycling,Battery manufacturing and recycling,Maybe,Electricity is not constant in many places in the country thus charging batteries becomes challenging,Everything nowadays is AI based so there will be huge negative impact on employment ,No negative employment impacts
4-20-2024 13:22:37,55 - 64,Employed full-time,Internal Combustion (IC) vehicle,Somewhat likely,"Cost of EVs, Environmental impact",Cost of EVs ,Fewer jobs,"Oil and gas, Battery manufacturing and recycling",Oil and gas,No,Battery life lack of expert technicians,Infrastructure of charging stations,Infrastructure availability
4-21-2024 7:44:06,35 - 44,Unemployed,Public transportation,Very unlikely,Availability of charging stations,Availability of charging stations,Fewer jobs,Battery manufacturing and recycling,Battery manufacturing and recycling,Maybe,No,Create new job skill oportunities,Training for workers
4-22-2024 15:43:26,18 - 24,Employed part-time,Public transportation,Somewhat likely,"Lack of information, No concerns",Lack of information ,Unsure,Design & development if EV models,Design & development if EV models,Maybe,Production of batteries,Not aware,Unaware
4-22-2024 15:46:38,Under 18,Student,Internal Combustion (IC) vehicle,Very likely,Installtion and maintainencr of EV charging points,Installtion and maintainencr of EV charging points,Create more jobs,"Oil and gas, Battery manufacturing and recycling",Oil and gas,Yes,Sustainability question,Skill the labour's immensely,Training for workers
4-22-2024 15:50:01,25 - 34,Employed full-time,Internal Combustion (IC) vehicle,Somewhat unlikely,Performance of Ev vehicles,Performance of Ev vehicles,Create more jobs,"Automotive manufacturing, Oil and gas",Automotive manufacturing,Yes,Grid capacity,Train the labours,Training for workers
4-22-2024 15:52:27,Under 18,Student,Public transportation,Somewhat unlikely,Environmental impact,Environmental impact,Fewer jobs,"Automotive manufacturing, Battery manufacturing and recycling",Automotive manufacturing,Yes,Slow charging ,Incentives should be given to people buying Ev vehicles,Government incentives
4-22-2024 16:36:17,25 - 34,Employed full-time,Internal Combustion (IC) vehicle,Neutral,Climate control,Climate control,Create more jobs,Designing of electronic vehicles,Designing of electronic vehicles,Yes,We will need good number of fast charging stations all over the country ,Natural resources should be used mindfully,Enforce environmental Safety & labor regulations
4-22-2024 16:45:05,25 - 34,Employed full-time,Bike/Walk,Neutral,Charging compatability and fast chargers,Charging compatability and fast chargers,No impact,"Automotive manufacturing, Oil and gas",Automotive manufacturing,Yes,Ev vehicles are unsafe during floods,Engine oil lubricants market will be affected a lot if EV are in more use,Enforce environmental Safety & labor regulations
4-22-2024 16:55:02,25 - 34,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Availability of charging stations,Availability of charging stations,Fewer jobs,Spare part market will be highly affected,Spare part market will be highly affected,Maybe,Strong infrastructure needs to be set up for charging stations,People shoukd be made aware abt the benefits of switching to Ev,Awareness campaigns on  EV benefits
4-22-2024 16:56:16,25 - 34,Employed full-time,Electric Vehicle (EV),Very likely,No concerns,No concerns,Fewer jobs,Public transportation,Public transportation,Yes,No,I am very happy with using Ev vehicle,No negative employment impacts
4-22-2024 16:57:27,25 - 34,Self-employed,Internal Combustion (IC) vehicle,Somewhat likely,Cost of EVs,Cost of EVs,Fewer jobs,"Automotive manufacturing, Renewable energy (e.g., wind, solar)",Automotive manufacturing,No,Longevity of batteries,No comments,Unaware
4-22-2024 17:03:50,25 - 34,Student,Internal Combustion (IC) vehicle,Somewhat unlikely,Cost of EVs,Cost of EVs,Fewer jobs,"Automotive manufacturing, Oil and gas, Public transportation",Automotive manufacturing,Maybe,Ev are not safe during lightning ,Got must give incentives,Government incentives
4-22-2024 17:05:52,25 - 34,Self-employed,Electric Vehicle (EV),Very likely,No concerns,No concerns,No impact,Public transportation,Public transportation,Yes,Only concern is that there are less charging points and batteries life is very short,Skill the labours as there are less technicians for ev vehicles,Training for workers
4-22-2024 17:07:31,65 and above,Retired,Internal Combustion (IC) vehicle,Very unlikely,Cost of EVs,Cost of EVs,Fewer jobs,Automotive manufacturing,Automotive manufacturing,No,Loss of natural resourses,Strict laws must be implemented to control pollution ,Enforce environmental Safety & labor regulations
4-22-2024 17:08:54,25 - 34,Employed full-time,Public transportation,Very unlikely,"Cost of EVs, Lack of information",Cost of EVs ,Create more jobs,Oil and gas,Oil and gas,Yes,Many ev are catching fires 🔥 ,Educate the labours,Training for workers
4-22-2024 20:31:55,55 - 64,Retired,Internal Combustion (IC) vehicle,Somewhat likely,"Availability of charging stations, Environmental impact, Lack of information",Availability of charging stations ,No impact,"Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling",Oil and gas,Yes,The safety and also infrastructure is not in place,Develop new skills and relocate the workforce,Training for workers
4-22-2024 20:37:33,35 - 44,Self-employed,Internal Combustion (IC) vehicle,Neutral,"Cost of EVs, Range per charge, Environmental impact",Cost of EVs ,No impact,"Automotive manufacturing, Oil and gas, Renewable energy (e.g., wind, solar), Battery manufacturing and recycling, Public transportation",Automotive manufacturing,Yes,"IC emissions are harmful, but isn't it more harmful to burn fossil fuels for electricity generation? ",No comments,Unaware
